Model,MAE,MSE,RMSE,R2
Round 1 - Linear Regression,21.748154210851773,2896.7410421400705,53.82138090146025,0.6424017863941531
Round 1 - Random Forest,44.180527466544696,97766.16809033266,312.6758194845464,-11.06908265240141
