Model,MAE,MSE,RMSE,R2
Round 2 - Gradient Boosting,11.598609721897606,388.9024034396015,19.72060859708953,0.9519905981536139
Round 2 - Stacking,11.809399233044893,398.1262014737348,19.95310004670289,0.950851934513446
Round 2 - Linear Regression,11.91559006762036,430.2929878493075,20.74350471471269,0.9468809943506872
Round 2 - Random Forest,12.394498923680084,426.2278075820145,20.6452853596654,0.9473828345843919
