Model,MAE,MSE,RMSE,R2
Deep Learning - LSTM,11.429726043488202,425.40434857587326,20.625332690065225,0.9474844893285648
Deep Learning - Neural Network,12.140403661364383,450.18158411775244,21.217482982619604,0.9444257778182941
