Model,MAE,MSE,RMSE,R2
Deep Learning - LSTM,11.429726043488202,425.40434857587326,20.625332690065225,0.9474844893285648
Round 2 - Gradient Boosting,11.598609721897606,388.9024034396015,19.72060859708953,0.9519905981536139
Round 2 - Stacking,11.809399233044893,398.1262014737348,19.95310004670289,0.950851934513446
Round 2 - Linear Regression,11.91559006762036,430.2929878493075,20.74350471471269,0.9468809943506872
Deep Learning - Neural Network,12.140403661364383,450.18158411775244,21.217482982619604,0.9444257778182941
Round 2 - Random Forest,12.394498923680084,426.2278075820145,20.6452853596654,0.9473828345843919
Round 1 - Linear Regression,21.748154210851773,2896.7410421400705,53.82138090146025,0.6424017863941531
Round 1 - Random Forest,44.180527466544696,97766.16809033266,312.6758194845464,-11.06908265240141
